6000-1-8610-06,프로그래밍기초,교필,원일석,수,"7,8,9",,
5000-1-8610-01,프로그래밍기초,교필,롤랜드,월,4 ,수,3 
5000-1-8610-02,프로그래밍기초,교필,롤랜드,월,5 ,수,6 
5000-1-8610-03,프로그래밍기초,교필,롤랜드,월,6 ,수,5 
5000-1-8610-04,프로그래밍기초,교필,문만기,화,1 ,목,2 
5000-1-8610-05,프로그래밍기초,교필,문만기,화,2 ,목,1 
0000-1-5909-01,공학과디자인,교선,유미란,화,3 ,목,4 
0000-1-5909-02,공학과디자인,교선,유미란,화,4 ,목,3 
0000-1-5909-03,공학과디자인,교선,유미란,금,"3,4",,
0000-1-5909-04,공학과디자인,교선,류상현,화,5 ,목,6 
0000-1-5909-05,공학과디자인,교선,류상현,화,6 ,목,5 
0000-1-4283-01,공학교양세미나,교선,김충혁,월,"1,2",,
0000-1-4283-02,공학교양세미나,교선,서영호,화,"3,4",,
0000-1-4711-01,나노과학의세계,교선,김영훈,월,4 ,수,3 
0000-1-5675-01,디지털영상편집,교선,서영호,월,3 ,수,4 
0000-1-5675-02,디지털영상편집,교선,이영훈,화,1 ,목,2 
0000-1-5675-03,디지털영상편집,교선,이영훈,화,2 ,목,1 
0000-1-5675-04,디지털영상편집,교선,김혜경,수,"7,8,9",,
0000-1-7461-01,상상공학과표현,교선,이보용,화,3 ,목,4 
0000-1-7461-02,상상공학과표현,교선,이보용,화,4 ,목,3 
0000-1-5674-01,생활속의과학,교선,김충혁,월,3 ,수,4 
0000-1-5674-02,생활속의과학,교선,김임순,금,"3,4",,
0000-1-5674-03,생활속의과학,교선,김임순,금,"5,6",,
0000-1-5704-01,자연교양세미나,교선,김영희,월,"5,6",,
0000-1-5704-02,자연교양세미나,교선,최종성,수,"5,6",,
0000-1-1659-01,컴퓨터언어,교선,윤소정,월,1 ,수,2 
0000-1-1659-02,컴퓨터언어,교선,윤소정,월,2 ,수,1 
0000-1-3293-01,컴퓨터활용,교선,롤랜드,화,5 ,목,6 
0000-1-3293-02,컴퓨터활용,교선,이종용,화,1 ,목,2 
0000-1-3293-03,컴퓨터활용,교선,정계동,화,2 ,목,1 
0000-1-8118-01,프로그래밍의이해,교선,서영호,월,6 ,수,5 
0000-2-6519-01,3D영상콘텐츠의이해및제작,교선,서영호,,,,
0000-2-6019-01,공학교양심화세미나,교선,이상훈,월,"5,6",,
0000-2-6957-01,디지털사운드제작,교선,고병량,월,5 ,수,6 
0000-2-6957-02,디지털사운드제작,교선,고병량,월,6 ,수,5 
0000-2-6387-01,모바일프로그래밍,교선,김대영,월,3 ,수,4 
0000-2-6387-02,모바일프로그래밍,교선,김대영,월,4 ,수,3 
0000-2-4263-01,미래사회와표준,교선,김충혁,월,5 ,수,6 
0000-2-4263-02,미래사회와표준,교선,김충혁,월,6 ,수,5 
0000-2-7724-01,수학과철학의대화,교선,최종성,화,3 ,목,4 
0000-2-8581-01,인간사회와엔트로피,교선,양재규,수,"7,8,9",,
0000-2-3029-01,인터넷활용,교선,이상훈,화,2 ,목,1 
0000-2-3029-02,인터넷활용,교선,이상훈,화,4 ,목,3 
0000-2-3029-03,인터넷활용,교선,박영수,화,5 ,목,6 
0000-2-3029-04,인터넷활용,교선,박영수,화,6 ,목,5 
0000-2-3029-05,인터넷활용,교선,김진수,금,"5,6",,
0000-2-3029-06,인터넷활용,교선,김진수,금,"7,8,9",,
0000-2-2991-01,자연과학사,교선,조성관,금,"1,2",,
0000-2-2991-02,자연과학사,교선,조성관,금,"3,4",,
0000-2-6020-01,자연교양심화세미나,교선,양재규,화,"5,6",,
0000-2-2993-01,정보화와현대사회,교선,정형원,화,1 ,목,2 
0000-2-8119-01,패러독스와논리,교선,최종성,화,4 ,목,3 
0000-2-2994-01,환경과생태,교선,양재규,월,3 ,수,4 
0000-2-2994-02,환경과생태,교선,양재규,월,4 ,수,3 
0000-2-2994-03,환경과생태,교선,김임순,목,"7,8,9",,
0000-2-7725-01,환경문제의융합적이해,교선,양재규,목,"5,6",,
0000-3-7728-01,디지털사회를위한데이터분석,교선,이강성,월,"5,6",,
0000-3-5765-01,미디어아트,교선,김호준,월,3 ,수,4 
0000-3-5765-02,미디어아트,교선,김호준,월,4 ,수,3 
0000-3-2997-01,산업화와환경오염,교선,현재우,월,1 ,수,2 
0000-3-2997-02,산업화와환경오염,교선,현재우,월,2 ,수,1 
0000-3-8120-01,정보사회와수학,교선,김영희,화,3 ,목,4 
0000-4-7462-01,예술과과학의융합,교선,유진희,금,"1,2",,
0000-1-5914-01,공학적의사소통,교선,장혜진,화,1 ,목,2 
0000-1-5914-02,공학적의사소통,교선,장혜진,화,2 ,목,1 
0000-1-5914-03,공학적의사소통,교선,김문정,월,1 ,수,2 
0000-1-5914-04,공학적의사소통,교선,김문정,월,2 ,수,1 
0000-1-5914-05,공학적의사소통,교선,손미영,월,3 ,수,4 
0000-1-7465-01,공학프레젠테이션과토론,교선,전형철,금,"1,2",,
0000-1-7465-02,공학프레젠테이션과토론,교선,전형철,금,"5,6",,
0000-1-7465-03,공학프레젠테이션과토론,교선,채상우,금,"3,4",,
0000-1-7465-04,공학프레젠테이션과토론,교선,김학현,화,3 ,목,4 
0000-1-7465-05,공학프레젠테이션과토론,교선,김학현,화,4 ,목,3 
0000-1-6523-01,말하기와소통,교선,조영복,화,3 ,목,4 
0000-1-6523-02,말하기와소통,교선,조영복,화,4 ,목,3 
0000-1-6523-03,말하기와소통,교선,임형택,월,1 ,수,2 
0000-1-6523-04,말하기와소통,교선,임형택,월,2 ,수,1 
0000-1-6523-05,말하기와소통,교선,,월,3 ,수,4 
0000-1-6523-06,말하기와소통,교선,,월,4 ,수,3 
0000-1-6523-07,말하기와소통,교선,곽형덕,화,"3,4",,
0000-1-6523-08,말하기와소통,교선,곽형덕,목,"5,6",,
0000-1-6523-09,말하기와소통,교선,손병현,화,"1,2",,
0000-1-6523-10,말하기와소통,교선,전도현,화,5 ,목,6 
0000-1-6523-11,말하기와소통,교선,전도현,화,6 ,목,5 
0000-1-6523-12,말하기와소통,교선,임수경,수,"5,6",,
0000-1-6523-13,말하기와소통,교선,정영호,금,"1,2",,
0000-1-6523-14,말하기와소통,교선,김광섭,월,5 ,수,6 
0000-1-6523-15,말하기와소통,교선,김광섭,월,6 ,수,5 
0000-1-6523-16,말하기와소통,교선,박성현,화,1 ,목,2 
0000-1-6523-17,말하기와소통,교선,김미정,목,"3,4",,
0000-1-6523-18,말하기와소통,교선,박판식,수,"7,8,9",,
0000-1-6518-01,사회속의언어생활,교선,박성현,,,,
0000-1-2337-01,언어의이해,교선,임서현,화,"5,6",,
0000-2-2977-01,생활한문,교선,이지양,월,2 ,수,1 
